species_value,species_display
White-crowned Sparrow,White-crowned Sparrow
White-eyed Vireo,White-eyed Vireo
White-throated Sparrow,White-throated Sparrow
Wild Turkey,Wild Turkey
Wilsons Snipe,Wilson&#39;s Snipe
Wilsons Warbler,Wilson&#39;s Warbler
Winter Wren,Winter Wren
Wood Thrush,Wood Thrush
Worm-eating Warbler,Worm-eating Warbler
Yellow Warbler,Yellow Warbler
Yellow-bellied Sapsucker,Yellow-bellied Sapsucker
Yellow-billed Cuckoo,Yellow-billed Cuckoo
Yellow-breasted Chat,Yellow-breasted Chat
Yellow-rumped Warbler,Yellow-rumped Warbler
Yellow-throated Vireo,Yellow-throated Vireo
Yellow-throated Warbler,Yellow-throated Warbler
